仓库名,最后四行活跃度总和
jOOQ/jOOQ,777.81
square/okio,229.98
alibaba/fastjson2,1231.51
quarkusio/quarkus,8396.93
vavr-io/vavr,179.15
neo4j/neo4j,474.75
elastic/elasticsearch,11277.96
infinispan/infinispan,1107.9899999999998
wildfly/wildfly,1349.67
hazelcast/hazelcast,499.32000000000005
eclipse-vertx/vert.x,485.30000000000007
cucumber/cucumber-jvm,204.67
eclipse/microprofile,74.49000000000001
apache/iceberg,4346.12
grpc/grpc-java,1355.3600000000001
graphql-java/graphql-java,425.83
reactor/reactor-core,452.52
google/guava,558.33
square/leakcanary,186.84000000000003
google/auto,180.51999999999998
