repo_owner,repo_name,activity_score,inovation_score,complexity_score,total_score
jOOQ,jOOQ,0.7778099999999999,0.0,114,45.37
square,okio,0.22998,128.2051,79,69.99
alibaba,fastjson2,1.2315099999999999,19.4932,125,55.48
quarkusio,quarkus,8.396930000000001,0.0,127,48.28
vavr-io,vavr,0.17915,75.188,29,34.1
neo4j,neo4j,0.47475,0.0,21,8.26
elastic,elasticsearch,11.277959999999998,0.0,148,55.82
infinispan,infinispan,1.10799,0.0,149,59.27
wildfly,wildfly,1.3496700000000001,0.0,100,39.6
hazelcast,hazelcast,0.49932,78.8955,54,45.12
eclipse-vertx,vert.x,0.4853,0.0,17,6.65
cucumber,cucumber-jvm,0.20467,0.0,136,54.34
eclipse,microprofile,0.07449,0.0,19,7.58
apache,iceberg,4.34612,29.8507,85,41.65
grpc,grpc-java,1.35536,0.0,224,89.19
graphql-java,graphql-java,0.42583,82.6446,54,46.27
reactor,reactor-core,0.45252,46.729,55,35.88
google,guava,0.55833,25.8398,57,30.38
square,leakcanary,0.18684,0.0,65,25.94
google,auto,0.18052,0.0,25,9.95
